building_id,address,num_violations
64592,"361 EAST 163 STREET, BRONX NY 10451",106
73440,"710 EAST 243 STREET, BRONX NY 10470",92
116740,"1055 DR M L KING JR BOULEVARD, BRONX NY 10452",82
65811,"250 EAST 176 STREET, BRONX NY 10457",76
121007,"80 WEST 170 STREET, BRONX NY 10452",70
355498,"1690 PRESIDENT STREET, BROOKLYN NY 11213",67
217336,"1119 CARROLL STREET, BROOKLYN NY 11225",63
217335,"1116 CARROLL STREET, BROOKLYN NY 11225",63
109434,"1221 SHERIDAN AVENUE, BRONX NY 10456",62
122197,"1206 WESTCHESTER AVENUE, BRONX NY 10459",62
355164,"1180 PRESIDENT STREET, BROOKLYN NY 11225",61
344337,"2501 NEWKIRK AVENUE, BROOKLYN NY 11226",60
23149,"1 JACOBUS PLACE, MANHATTAN NY 10463",58
51000,"1025 BOYNTON AVENUE, BRONX NY 10472",58
40954,"630 WEST 136 STREET, MANHATTAN NY 10031",56
111945,"1149 STRATFORD AVENUE, BRONX NY 10472",54
109435,"1225 SHERIDAN AVENUE, BRONX NY 10456",54
110162,"540 SOUTHERN BOULEVARD, BRONX NY 10455",53
8148,"3851 BROADWAY, MANHATTAN NY 10032",53
812539,"280 PARKHILL AVENUE, STATEN ISLAND NY 10304",53
769123,"140 PARK HILL AVENUE, STATEN ISLAND NY 10304",51
108500,"2647 SEDGWICK AVENUE, BRONX NY 10468",51
812537,"185 PARK HILL AVENUE, STATEN ISLAND NY 10304",49
66877,"25 EAST 193 STREET, BRONX NY 10468",48
97763,"437 MORRIS PARK AVENUE, BRONX NY 10460",48
949009,"681 MAGENTA STREET, BRONX NY 10467",46
107097,"3280 ROCHAMBEAU AVENUE, BRONX NY 10467",46
355453,"1616 PRESIDENT STREET, BROOKLYN NY 11213",46
362341,"558 RIVERDALE AVENUE, BROOKLYN NY 11207",45
81872,"2780 GRAND CONCOURSE, BRONX NY 10458",45
81881,"2842 GRAND CONCOURSE, BRONX NY 10458",44
56837,"1229 CLAY AVENUE, BRONX NY 10456",43
115655,"1575 TOWNSEND AVENUE, BRONX NY 10452",43
67064,"60 EAST 196 STREET, BRONX NY 10468",43
81696,"1420 GRAND CONCOURSE, BRONX NY 10456",42
21858,"75 FT WASHINGTON AVENUE, MANHATTAN NY 10032",42
51010,"1056 BOYNTON AVENUE, BRONX NY 10472",42
56547,"2757 CLAFLIN AVENUE, BRONX NY 10468",42
81559,"2380 GRAND AVENUE, BRONX NY 10468",42
108741,"868 FAILE STREET, BRONX NY 10474",42
65791,"124 EAST 176 STREET, BRONX NY 10453",42
117106,"2537 VALENTINE AVENUE, BRONX NY 10458",42
119044,"1356 WALTON AVENUE, BRONX NY 10452",41
105950,"2755 RESERVOIR AVENUE, BRONX NY 10468",41
247358,"1350 EAST 18 STREET, BROOKLYN NY 11230",40
73453,"738 EAST 243 STREET, BRONX NY 10470",39
116449,"592 UNION AVENUE, BRONX NY 10455",39
43019,"652 WEST 163 STREET, MANHATTAN NY 10032",39
60496,"2290 DAVIDSON AVENUE, BRONX NY 10468",38
366397,"509 SARATOGA AVENUE, BROOKLYN NY 11212",38
107798,"2342 RYER AVENUE, BRONX NY 10458",38
115286,"976 TINTON AVENUE, BRONX NY 10456",38
81698,"1454 GRAND CONCOURSE, BRONX NY 10457",38
60500,"2344 DAVIDSON AVENUE, BRONX NY 10468",38
78240,"1738 FILLMORE STREET, BRONX NY 10460",38
108495,"2619 SEDGWICK AVENUE, BRONX NY 10468",38
116657,"2406 UNIVERSITY AVENUE, BRONX NY 10468",37
79276,"1250 FRANKLIN AVENUE, BRONX NY 10456",37
806375,"1259 CLAY AVENUE, BRONX NY 10456",37
115724,"2510 TRATMAN AVENUE, BRONX NY 10461",36
125650,"1072 WOODYCREST AVENUE, BRONX NY 10452",36
43225,"524 WEST 173 STREET, MANHATTAN NY 10032",36
27990,"1447 ST NICHOLAS AVENUE, MANHATTAN NY 10033",36
81744,"1916 GRAND CONCOURSE, BRONX NY 10457",35
8225,"4197 BROADWAY, MANHATTAN NY 10033",35
244894,"972 EAST 14 STREET, BROOKLYN NY 11230",35
81843,"2535 GRAND CONCOURSE, BRONX NY 10468",35
3394,"1921 ADAM C POWELL BOULEVARD, MANHATTAN NY 10026",35
61671,"2492 DEVOE TERRACE, BRONX NY 10468",34
